 male Agent 
x = X, y = Y, z = Z, h = holdingStatus, pi = PickupIndex, di = DropOffIndex
       states                       actions                 
 x, y, z,  h,   pi, di     North      East     South      west        Up      Down
(0, 0, 1, False, 2, 5)    -0.555    -0.555     0.000     0.000    -0.555    -0.555
(0, 0, 1, False, 2, 6)    -0.555    -0.555     0.000     0.000    -0.555    -0.555
(0, 0, 1, False, 2, 7)    -0.555    -0.555     0.000     0.000    -0.555    -0.555
(0, 0, 1, False, 2, 8)    -0.555    -0.555     0.000     0.000    -0.555    -0.555
(0, 0, 1, False, 2, 9)    -0.555    -0.555     0.000     0.000    -0.555    -0.555
(0, 0, 1, False, 2, 10)    -0.555    -0.555     0.000     0.000    -0.555    -0.555
(0, 0, 1, False, 2, 11)    -0.555    -0.555     0.000     0.000    -0.555    -0.555
(0, 0, 1, False, 2, 12)    -0.555    -0.555     0.000     0.000    -0.555    -0.555
(0, 0, 1, False, 2, 13)    -0.555    -0.555     0.000     0.000    -0.555    -0.555
(0, 0, 1, False, 2, 14)    -0.555    -0.555     0.000     0.000    -0.555    -0.555
(0, 0, 1, False, 2, 15)    -0.555    -0.555     0.000     0.000    -0.555    -0.555
(0, 0, 1, False, 3, 0)    -1.246    -1.246     0.000     0.000    -1.359    -1.359
(0, 0, 1, False, 3, 1)    -1.246    -1.246     0.000     0.000    -1.359    -1.359
(0, 0, 1, False, 3, 2)    -1.246    -1.246     0.000     0.000    -1.359    -1.359
(0, 0, 1, False, 3, 3)    -1.246    -1.246     0.000     0.000    -1.359    -1.359
(0, 0, 1, False, 3, 4)    -1.246    -1.246     0.000     0.000    -1.359    -1.359
(0, 0, 1, False, 3, 5)    -1.246    -1.246     0.000     0.000    -1.359    -1.359
(0, 0, 1, False, 3, 6)    -1.246    -1.246     0.000     0.000    -1.359    -1.359
(0, 0, 1, False, 3, 7)    -1.246    -1.246     0.000     0.000    -1.359    -1.359
(0, 0, 1, False, 3, 8)    -1.246    -1.246     0.000     0.000    -1.359    -1.359
(0, 0, 1, False, 3, 9)    -1.246    -1.246     0.000     0.000    -1.359    -1.359
(0, 0, 1, False, 3, 10)    -1.246    -1.246     0.000     0.000    -1.359    -1.359
(0, 0, 1, False, 3, 11)    -1.246    -1.246     0.000     0.000    -1.359    -1.359
(0, 0, 1, False, 3, 12)    -1.246    -1.246     0.000     0.000    -1.359    -1.359
(0, 0, 1, False, 3, 13)    -1.246    -1.246     0.000     0.000    -1.359    -1.359
(0, 0, 1, False, 3, 14)    -1.246    -1.246     0.000     0.000    -1.359    -1.359
(0, 0, 1, False, 3, 15)    -1.246    -1.246     0.000     0.000    -1.359    -1.359
